	mir	dis	cau
0	hsa-let-7a	Neoplasms	1
1	hsa-let-7a	Osteosarcoma	1
2	hsa-let-7a	Retinal Degeneration	1
3	hsa-let-7b	Colonic Neoplasms	1
4	hsa-let-7b	Endometrial Neoplasms	1
5	hsa-let-7b	Glioma	1
6	hsa-let-7b	Hypertrophy	1
7	hsa-let-7b	Inflammation	1
8	hsa-let-7b	Myocardial Reperfusion Injury	1
9	hsa-let-7b	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	1
10	hsa-let-7b	Reperfusion Injury	1
11	hsa-let-7b	Retinal Degeneration	1
12	hsa-let-7c	Atherosclerosis	1
13	hsa-let-7c	Colonic Neoplasms	1
14	hsa-let-7c	Endometrial Neoplasms	1
15	hsa-let-7c	Heart Diseases	1
16	hsa-let-7c	Inflammation	1
17	hsa-let-7c	Lung Neoplasms	1
18	hsa-let-7c	Neoplasms	1
19	hsa-let-7c	Ovarian Neoplasms	1
20	hsa-let-7c	Retinal Degeneration	1
21	hsa-let-7d	Endometrial Neoplasms	1
22	hsa-let-7d	Inflammation	1
23	hsa-let-7d	Lung Neoplasms	1
24	hsa-let-7d	Ovarian Neoplasms	1
25	hsa-let-7d	Retinal Degeneration	1
26	hsa-let-7e	Colonic Neoplasms	1
27	hsa-let-7e	Endometrial Neoplasms	1
28	hsa-let-7e	Hypertrophy	1
29	hsa-let-7e	Inflammation	1
30	hsa-let-7e	Lung Neoplasms	1
31	hsa-let-7e	Neoplasms	1
32	hsa-let-7e	Reperfusion Injury	1
33	hsa-let-7e	Retinal Degeneration	1
34	hsa-let-7f	Glioma	1
35	hsa-let-7f	Neoplasms	1
36	hsa-let-7f	Retinal Degeneration	1
37	hsa-let-7g	Colonic Neoplasms	1
38	hsa-let-7g	Glioblastoma	1
39	hsa-let-7g	Hypertrophy	1
40	hsa-let-7g	Inflammation	1
41	hsa-let-7g	Lung Neoplasms	1
42	hsa-let-7g	Melanoma	1
43	hsa-let-7g	Neoplasms	1
44	hsa-let-7g	Osteosarcoma	1
45	hsa-let-7g	Retinal Degeneration	1
