	weight	causal_ROC	independent_ROC
57	(0.05, 0.05, 0.05, 0.25, 0.3, 0.3)	0.8700464078857431	0.8870862825345093
683	(0.05, 0.1, 0.05, 0.25, 0.3, 0.25)	0.8700442493794294	0.8864213968542608
2751	(0.1, 0.05, 0.05, 0.25, 0.3, 0.25)	0.8700133907336123	0.8876899208909808
58	(0.05, 0.05, 0.05, 0.25, 0.35, 0.25)	0.8700073149380627	0.8861980981743947
672	(0.05, 0.1, 0.05, 0.2, 0.3, 0.3)	0.8699941240661462	0.8876098101139773
3257	(0.1, 0.1, 0.05, 0.25, 0.3, 0.2)	0.8699890875514145	0.8869694029448474
682	(0.05, 0.1, 0.05, 0.25, 0.25, 0.3)	0.8699751771773933	0.8871643593255072
673	(0.05, 0.1, 0.05, 0.2, 0.35, 0.25)	0.8699611069140154	0.8867503607144605
3256	(0.1, 0.1, 0.05, 0.25, 0.25, 0.25)	0.8699436789741499	0.8877497467805221
2752	(0.1, 0.05, 0.05, 0.25, 0.35, 0.2)	0.8699349650042171	0.8867752947127926
68	(0.05, 0.05, 0.05, 0.3, 0.3, 0.25)	0.869934405391469	0.8858707756388098
3247	(0.1, 0.1, 0.05, 0.2, 0.3, 0.25)	0.8699205749621263	0.8881746456717846
47	(0.05, 0.05, 0.05, 0.2, 0.35, 0.3)	0.8699105818773408	0.8874012519427316
1179	(0.05, 0.15, 0.05, 0.2, 0.3, 0.25)	0.8699085033157057	0.8868337384342373
692	(0.05, 0.1, 0.05, 0.3, 0.25, 0.25)	0.8699001890691641	0.8859733230876983
67	(0.05, 0.05, 0.05, 0.3, 0.25, 0.3)	0.8698989099543116	0.8866354051656143
3248	(0.1, 0.1, 0.05, 0.2, 0.35, 0.2)	0.8698861987504647	0.8872965841223315
4829	(0.15, 0.05, 0.05, 0.25, 0.3, 0.2)	0.8698819616825155	0.8881020896999452
1188	(0.05, 0.15, 0.05, 0.25, 0.25, 0.25)	0.8698776446698885	0.8863701702491835
2761	(0.1, 0.05, 0.05, 0.3, 0.3, 0.2)	0.8698748466061486	0.8864594378898261
2741	(0.1, 0.05, 0.05, 0.2, 0.35, 0.25)	0.8698661326362156	0.8880093509326054
56	(0.05, 0.05, 0.05, 0.25, 0.25, 0.35)	0.8698604565640577	0.8876295923948588
684	(0.05, 0.1, 0.05, 0.25, 0.35, 0.2)	0.8698547005472214	0.8852958722429358
3265	(0.1, 0.1, 0.05, 0.3, 0.25, 0.2)	0.8698531016536557	0.8865473626285119
2750	(0.1, 0.05, 0.05, 0.25, 0.25, 0.3)	0.8698495840878112	0.888272363385563
2760	(0.1, 0.05, 0.05, 0.3, 0.25, 0.25)	0.8698494241984546	0.8872540824533637
3654	(0.1, 0.15, 0.05, 0.2, 0.3, 0.2)	0.8698309569777715	0.8873544309984618
5234	(0.15, 0.1, 0.05, 0.25, 0.25, 0.2)	0.8698297578075972	0.8881439395510039
5235	(0.15, 0.1, 0.05, 0.25, 0.3, 0.15)	0.8698248012375436	0.8873230966194555
46	(0.05, 0.05, 0.05, 0.2, 0.3, 0.35)	0.869824641348187	0.8880771557016132
3662	(0.1, 0.15, 0.05, 0.25, 0.25, 0.2)	0.8698210438376643	0.886905312752599
1189	(0.05, 0.15, 0.05, 0.25, 0.3, 0.2)	0.8698159273782542	0.8854143224781619
2740	(0.1, 0.05, 0.05, 0.2, 0.3, 0.3)	0.8698016172808417	0.888704927027179
693	(0.05, 0.1, 0.05, 0.3, 0.3, 0.2)	0.8697965807661099	0.8849663036841942
5226	(0.15, 0.1, 0.05, 0.2, 0.3, 0.2)	0.8697874670727856	0.8885612129580521
1178	(0.05, 0.15, 0.05, 0.2, 0.25, 0.3)	0.8697850687324372	0.8875480523303918
4830	(0.15, 0.05, 0.05, 0.25, 0.35, 0.15)	0.8697800322177054	0.8871448833205106
3258	(0.1, 0.1, 0.05, 0.25, 0.35, 0.15)	0.869773156975373	0.885819878869301
4828	(0.15, 0.05, 0.05, 0.25, 0.25, 0.25)	0.869769479520172	0.8887184110193478
48	(0.05, 0.05, 0.05, 0.2, 0.4, 0.25)	0.8697594064907085	0.8864224099206497
3653	(0.1, 0.15, 0.05, 0.2, 0.25, 0.25)	0.8697590067673171	0.8881009902480503
4837	(0.15, 0.05, 0.05, 0.3, 0.25, 0.2)	0.8697355030319018	0.8876780153976038
671	(0.05, 0.1, 0.05, 0.2, 0.25, 0.35)	0.869733584359623	0.8881340680436328
1180	(0.05, 0.15, 0.05, 0.2, 0.35, 0.2)	0.8697326250234838	0.885742296831656
4820	(0.15, 0.05, 0.05, 0.2, 0.35, 0.2)	0.8697299868491004	0.8884159125369054
3246	(0.1, 0.1, 0.05, 0.2, 0.25, 0.3)	0.8697278283427868	0.8887404628830695
3663	(0.1, 0.15, 0.05, 0.25, 0.3, 0.15)	0.8697177553133232	0.8859092486019056
5227	(0.15, 0.1, 0.05, 0.2, 0.35, 0.15)	0.8697125589092348	0.8876410109881107
4838	(0.15, 0.05, 0.05, 0.3, 0.3, 0.15)	0.8697119992964869	0.8868332044147454
3266	(0.1, 0.1, 0.05, 0.3, 0.3, 0.15)	0.8697100006795296	0.885502184391025
59	(0.05, 0.05, 0.05, 0.25, 0.4, 0.2)	0.8697079221178945	0.8849256318173085
69	(0.05, 0.05, 0.05, 0.3, 0.35, 0.2)	0.8697045644414065	0.8846749410788023
5242	(0.15, 0.1, 0.05, 0.3, 0.25, 0.15)	0.869694811190656	0.8868990615832534
4819	(0.15, 0.05, 0.05, 0.2, 0.3, 0.25)	0.8696844983271578	0.8891464354952828
2742	(0.1, 0.05, 0.05, 0.2, 0.4, 0.2)	0.8696839387144095	0.8870000540930333
768	(0.05, 0.1, 0.1, 0.2, 0.3, 0.25)	0.8696716272339542	0.8865527185298858
674	(0.05, 0.1, 0.05, 0.2, 0.4, 0.2)	0.8696714673445974	0.8855298120464996
691	(0.05, 0.1, 0.05, 0.3, 0.2, 0.3)	0.8696617140938471	0.8865532604026055
6394	(0.2, 0.05, 0.05, 0.25, 0.3, 0.15)	0.8696610745364208	0.8883687224909282
3264	(0.1, 0.1, 0.05, 0.3, 0.2, 0.25)	0.8696483633325739	0.8871659221178433
170	(0.05, 0.05, 0.1, 0.25, 0.3, 0.25)	0.8696469243283648	0.886022201577657
1197	(0.05, 0.15, 0.05, 0.3, 0.25, 0.2)	0.8696466844943299	0.8849583405111836
77	(0.05, 0.05, 0.05, 0.35, 0.25, 0.25)	0.869644765822051	0.8853760851119009
5552	(0.15, 0.15, 0.05, 0.2, 0.3, 0.15)	0.8696362916861532	0.8876771358360879
159	(0.05, 0.05, 0.1, 0.2, 0.3, 0.3)	0.869631415060778	0.8871851546727775
3655	(0.1, 0.15, 0.05, 0.2, 0.35, 0.15)	0.8696278175502553	0.886237372166728
1585	(0.05, 0.2, 0.05, 0.2, 0.25, 0.25)	0.8696271779928288	0.8866568366243384
681	(0.05, 0.1, 0.05, 0.25, 0.2, 0.35)	0.8696200629164618	0.8875275239928675
2762	(0.1, 0.05, 0.05, 0.3, 0.35, 0.15)	0.8696190236356441	0.8852317113716374
5225	(0.15, 0.1, 0.05, 0.2, 0.25, 0.25)	0.8696175046867569	0.8891542573101928
